Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
LEU,Centrus Energy Corp. Class A Common Stock,$24.01,-0.45,-1.84%,332592162.00,United States,2014,21452,Public Utilities,Electric Utilities: Central
LGL,LGL Group Inc. (The) Common Stock,$10.10,-0.31,-2.978%,53249260.00,United States,,36917,Capital Goods,Industrial Machinery/Components
LNG,Cheniere Energy Inc. Common Stock,$83.68,-0.96,-1.134%,21221826898.00,United States,,1181615,Public Utilities,Oil/Gas Transmission
LODE,Comstock Mining Inc. Common Stock,$2.93,-0.12,-3.934%,124394659.00,United States,,689034,Finance,Real Estate
LOV,Spark Networks Inc. American Depositary Shares (each representing one-tenth of an Ordinary Share),$3.72,0.23,6.59%,96931631.00,United States,2017,35698,Miscellaneous,Other Consumer Services
LSF,Laird Superfood Inc. Common Stock,$25.06,1.15,4.81%,225312054.00,,2020,42062,Consumer Non-Durables,Specialty Foods
LXFR,Luxfer Holdings PLC Ordinary Shares,$20.15,-0.10,-0.494%,559128910.00,United Kingdom,2012,42718,Capital Goods,Metal Fabrications
MAG,MAG Silver Corporation Ordinary Shares,$18.21,-1.13,-5.843%,1727035380.00,Canada,,514088,Basic Industries,Precious Metals
MCF,Contango Oil & Gas Company Common Stock (TX),$3.44,-0.08,-2.273%,691685640.00,United States,,768802,Energy,Oil & Gas Production
MHH,Mastech Digital Inc Common Stock,$17.17,-0.58,-3.268%,196271163.00,United States,,9849,Consumer Services,Professional Services
MITQ,Moving iMage Technologies Inc. Common Stock,$3.29,-0.05,-1.497%,34534034.00,United States,2021,221463,,
MLSS,Milestone Scientific Inc. Common Stock,$1.85,0.06,3.352%,123497111.00,United States,2015,78316,Health Care,Industrial Specialties
MMX,Maverix Metals Inc. Common Shares,$4.63,0.01,0.216%,675263994.00,,,188885,Basic Industries,Precious Metals
MSN,Emerson Radio Corporation Common Stock,$1.34,-0.01,-0.741%,28197154.00,United States,,104478,Consumer Non-Durables,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$7.81,-0.21,-2.618%,334373591.00,,,157771,Basic Industries,Precious Metals
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$0.7699,-0.0082,-1.054%,157278230.00,United States,2017,607265,Health Care,Major Pharmaceuticals
MXC,Mexco Energy Corporation Common Stock,$8.75,0.1883,2.199%,18306453.00,United States,,10039,Energy,Oil & Gas Production
